Time,Temperature,Humidity,Status
2026-09-13 21:06:25,40.0,45.98,Critical
2026-09-13 21:11:25,40.0,46.36,Critical
2026-09-13 21:16:25,39.33,45.13,Critical
2026-09-13 21:21:25,39.23,44.79,Critical
2026-09-13 21:26:25,40.0,43.98,Critical
2026-09-13 21:31:25,40.0,43.84,Critical
2026-09-13 21:36:25,40.0,41.99,Critical
2026-09-13 21:41:25,39.33,41.2,Critical
2026-09-13 21:46:25,38.6,41.23,Critical
2026-09-13 21:51:25,38.33,40.93,Critical
2026-09-13 21:56:25,35.4,40.79,Critical
2026-09-13 22:01:25,35.5,39.82,Critical
2026-09-13 22:06:25,36.89,41.51,Critical
2026-09-13 22:11:25,40.0,40.98,Critical
2026-09-13 22:16:25,39.64,39.04,Critical
2026-09-13 22:21:25,39.35,38.25,Critical
2026-09-13 22:26:25,38.54,40.17,Critical
2026-09-13 22:31:25,39.55,42.79,Critical
2026-09-13 22:36:25,39.74,44.34,Critical
2026-09-13 22:41:25,40.0,44.73,Critical
2026-09-13 22:46:25,39.24,44.52,Critical
2026-09-13 22:51:25,38.94,44.94,Critical
2026-09-13 22:56:25,39.13,44.99,Critical
2026-09-13 23:01:25,39.31,44.9,Critical
2026-09-13 23:06:25,39.52,44.22,Critical
2026-09-13 23:11:25,38.91,45.29,Critical
2026-09-13 23:16:25,37.95,46.12,Critical
2026-09-13 23:21:25,37.69,46.36,Critical
2026-09-13 23:26:25,37.63,46.13,Critical
2026-09-13 23:31:25,36.22,45.92,Critical
2026-09-13 23:36:25,36.01,44.34,Critical
2026-09-13 23:41:25,35.17,45.12,Critical
2026-09-13 23:46:25,34.59,44.82,Warning
2026-09-13 23:51:25,35.54,45.88,Critical
2026-09-13 23:56:25,35.79,46.62,Critical
2026-09-14 00:01:25,35.4,47.51,Critical
2026-09-14 00:06:25,35.3,48.56,Critical
2026-09-14 00:11:25,35.7,47.15,Critical
2026-09-14 00:16:25,35.41,48.51,Critical
2026-09-14 00:21:25,34.86,48.54,Warning
2026-09-14 00:26:25,35.03,49.58,Critical
2026-09-14 00:31:25,35.2,49.64,Critical
2026-09-14 00:36:25,34.06,49.11,Warning
2026-09-14 00:41:25,34.87,49.44,Warning
2026-09-14 00:46:25,35.32,50.41,Critical
2026-09-14 00:51:25,35.47,49.63,Critical
2026-09-14 00:56:25,35.68,50.53,Critical
2026-09-14 01:01:25,36.49,49.86,Critical
2026-09-14 01:06:25,36.96,49.87,Critical
2026-09-14 01:11:25,37.42,50.37,Critical
2026-09-14 01:16:25,32.96,51.81,Warning
2026-09-14 01:21:25,32.08,50.69,Warning
2026-09-14 01:26:25,32.32,51.16,Warning
2026-09-14 01:31:25,31.05,51.21,Warning
2026-09-14 01:36:25,31.43,51.33,Warning
2026-09-14 01:41:25,31.72,50.7,Warning
2026-09-14 01:46:25,32.18,50.34,Warning
2026-09-14 01:51:25,32.11,51.09,Warning
2026-09-14 01:56:25,31.3,48.99,Warning
2026-09-14 02:01:25,31.14,49.17,Warning
2026-09-14 02:06:25,31.1,50.38,Warning
2026-09-14 02:11:25,30.77,49.05,Warning
2026-09-14 02:16:25,31.22,50.6,Warning
2026-09-14 02:21:25,30.64,51.03,Warning
2026-09-14 02:26:25,31.15,50.48,Warning
2026-09-14 02:31:25,30.79,50.87,Warning
2026-09-14 02:36:25,30.99,52.06,Warning
2026-09-14 02:41:25,31.58,51.76,Warning
2026-09-14 02:46:25,31.51,52.07,Warning
2026-09-14 02:51:25,31.55,52.22,Warning
2026-09-14 02:56:25,31.73,52.19,Warning
2026-09-14 03:01:25,30.86,50.33,Warning
2026-09-14 03:06:25,30.69,52.07,Warning
2026-09-14 03:11:25,30.89,51.71,Warning
2026-09-14 03:16:25,31.23,51.4,Warning
2026-09-14 03:21:25,31.23,53.74,Warning
2026-09-14 03:26:25,31.28,54.26,Warning
2026-09-14 03:31:25,30.85,54.65,Warning
2026-09-14 03:36:25,31.19,55.25,Warning
2026-09-14 03:41:25,31.03,55.66,Warning
2026-09-14 03:46:25,30.02,55.35,Warning
2026-09-14 03:51:25,30.77,56.16,Warning
2026-09-14 03:56:25,29.14,55.67,Normal
2026-09-14 04:01:25,28.84,56.09,Normal
2026-09-14 04:06:25,28.89,56.01,Normal
2026-09-14 04:11:25,29.26,55.39,Normal
2026-09-14 04:16:25,28.72,54.59,Normal
2026-09-14 04:21:25,29.5,54.19,Normal
2026-09-14 04:26:25,29.64,55.6,Normal
2026-09-14 04:31:25,29.39,56.01,Normal
2026-09-14 04:36:25,29.1,57.04,Normal
2026-09-14 04:41:25,28.17,56.3,Normal
2026-09-14 04:46:25,28.03,56.16,Normal
2026-09-14 04:51:25,28.42,56.75,Normal
2026-09-14 04:56:25,28.58,58.58,Normal
2026-09-14 05:01:25,28.17,57.65,Normal
2026-09-14 05:06:25,27.88,56.85,Normal
2026-09-14 05:11:25,27.91,56.17,Normal
2026-09-14 05:16:25,27.82,55.58,Normal
2026-09-14 05:21:25,27.03,55.52,Normal
2026-09-14 05:26:25,27.13,54.21,Normal
2026-09-14 05:31:25,26.99,54.53,Normal
2026-09-14 05:36:25,26.83,53.57,Normal
2026-09-14 05:41:25,26.18,52.82,Normal
2026-09-14 05:46:25,25.51,53.04,Normal
2026-09-14 05:51:25,33.05,51.55,Warning
2026-09-14 05:56:25,33.5,51.77,Warning
2026-09-14 06:01:25,33.18,52.92,Warning
2026-09-14 06:06:25,39.03,53.6,Critical
2026-09-14 06:11:25,38.46,53.82,Critical
2026-09-14 06:16:25,38.02,52.66,Critical
2026-09-14 06:21:25,34.14,53.97,Warning
2026-09-14 06:26:25,33.8,54.39,Warning
2026-09-14 06:31:25,34.55,53.46,Warning
2026-09-14 06:36:25,35.95,53.09,Critical
2026-09-14 06:41:25,35.79,52.92,Critical
2026-09-14 06:46:25,36.08,51.57,Critical
2026-09-14 06:51:25,36.17,51.27,Critical
2026-09-14 06:56:25,35.22,51.42,Critical
2026-09-14 07:01:25,35.13,52.92,Critical
2026-09-14 07:06:25,35.3,52.14,Critical
2026-09-14 07:11:25,35.12,50.62,Critical
2026-09-14 07:16:25,34.93,50.54,Warning
2026-09-14 07:21:25,35.2,50.07,Critical
2026-09-14 07:26:25,35.35,49.43,Critical
2026-09-14 07:31:25,35.54,51.57,Critical
2026-09-14 07:36:25,35.45,52.31,Critical
2026-09-14 07:41:25,35.16,51.92,Critical
2026-09-14 07:46:25,35.99,51.5,Critical
2026-09-14 07:51:25,35.85,52.36,Critical
2026-09-14 07:56:25,35.42,50.27,Critical
2026-09-14 08:01:25,35.31,51.27,Critical
2026-09-14 08:06:25,35.28,52.22,Critical
2026-09-14 08:11:25,33.25,52.02,Warning
2026-09-14 08:16:25,32.68,52.01,Warning
2026-09-14 08:21:25,31.82,52.62,Warning
2026-09-14 08:26:25,31.77,53.64,Warning
2026-09-14 08:31:25,31.26,54.96,Warning
2026-09-14 08:36:25,30.63,53.95,Warning
2026-09-14 08:41:25,28.37,53.78,Normal
2026-09-14 08:46:25,28.81,52.32,Normal
2026-09-14 08:51:25,24.91,51.4,Normal
2026-09-14 08:56:25,25.9,51.87,Normal
2026-09-14 09:01:25,25.9,51.6,Normal
2026-09-14 09:06:25,26.88,52.62,Normal
2026-09-14 09:11:25,27.24,53.02,Normal
2026-09-14 09:16:25,30.55,53.59,Warning
2026-09-14 09:21:25,29.85,55.11,Normal
2026-09-14 09:26:25,29.99,56.32,Normal
2026-09-14 09:31:25,29.39,56.68,Normal
2026-09-14 09:36:25,29.36,56.61,Normal
2026-09-14 09:41:25,29.37,56.83,Normal
2026-09-14 09:46:25,28.77,56.69,Normal
2026-09-14 09:51:25,25.26,57.05,Normal
2026-09-14 09:56:25,25.85,57.97,Normal
2026-09-14 10:01:25,25.25,58.28,Normal
